title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2004 Ford F-650 Flatdeck Truck,"37,000",https://edmonton.craigslist.org/ctd/d/langley-township-northwest-2004-ford/7492831102.html,201620,,clean,automatic,2004 Ford F-650,,truck,,97
2001 Gmc Sierra 2500 HD 4x4,"2,400",https://reddeer.craigslist.org/cto/d/red-deer-2001-gmc-sierra-2500-hd-4x4/7502251760.html,169515,,clean,automatic,2001 gmc sierra 2500hd,,,,98
2006 International 7600 Crane Truck,"56,000",https://edmonton.craigslist.org/ctd/d/langley-township-northwest-2006/7491657831.html,417806,,clean,manual,2006 International 7600,,truck,,99
2006 Sterling Acterra 15 Ft Dump Truck,"21,000",https://edmonton.craigslist.org/ctd/d/langley-township-northwest-2006/7491657977.html,541000,,clean,manual,2006 Sterling Acterra,,truck,,100
2008 Sterling Bullet Cab&Chassi,"27,000",https://edmonton.craigslist.org/ctd/d/langley-township-northwest-2008/7491663990.html,209642,,clean,other,2008 Sterling Bullet,,truck,,101
Black 2011 Jeep Liberty Sport,"4,500",https://regina.craigslist.org/cto/d/regina-black-2011-jeep-liberty-sport/7502567806.html,146850,,clean,automatic,2011 jeep liberty sport 4x4,,,,102
2007 Sterling Acterra Tandem Axle 20 Ft Crane Truck,"127,000",https://edmonton.craigslist.org/ctd/d/2007-sterling-acterra-tandem-axle-20-ft/7492822805.html,392164,,clean,automatic,2007 Sterling Acterra,,truck,,103
2006 Honda Civic 1.8L,"1,600",https://regina.craigslist.org/cto/d/regina-southeast-2006-honda-civic-18l/7502755060.html,139485,,clean,automatic,2006 civic ex,,,,104
2015 GMC Denali HD Dually,"75,000",https://edmonton.craigslist.org/ctd/d/langley-township-northwest-2015-gmc/7492824871.html,145751,,clean,automatic,2015 GMC Denali,,truck,,105
1999 International 4700 24 Ft Box Truck,"24,000",https://edmonton.craigslist.org/ctd/d/1999-international-ft-box-truck/7492830292.html,264914,,clean,automatic,1999 International 4700,,truck,,106
2020 MERCEDES-BENZ AMG S63 CABRIOLET! RARE! LIKE NEW! ONLY 4000KM!,"244,900",https://saskatoon.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-s63/7486295171.html,4000,,clean,automatic,2020 Mercedes-Benz AMG S63 Cabriolet,4wd,convertible,8 cylinders,107
2002 GMC W5500 18 Ft Box Truck,"34,000",https://edmonton.craigslist.org/ctd/d/langley-township-northwest-2002-gmc-ft/7491663959.html,351156,,clean,automatic,2002 GMC W5500,,truck,,108
Toyota Landcruiser BJ42,"45,000",https://saskatoon.craigslist.org/cto/d/saskatoon-west-toyota-landcruiser-bj42/7488447503.html,1973,,clean,manual,1971 toyota land cruiser,4wd,SUV,4 cylinders,109
"2020 MERCEDES-BENZ AMG G63 GWAGON! LIKE NEW, NO CLAIMS, LOCAL BC CAR!","319,900",https://saskatoon.craigslist.org/ctd/d/langley-city-2020-mercedes-benz-amg-g63/7488673447.html,10000,,clean,automatic,2020 Mercedes-Benz AMG G63,4wd,SUV,8 cylinders,110
"2018 Audi TT RS 2.5T Quattro - No Accidents, One Owner, Local","85,559",https://edmonton.craigslist.org/ctd/d/vancouver-2018-audi-tt-rs-25t-quattro/7501245032.html,28500,,clean,automatic,2018 audi tt,,,,111
2017 MERCEDES-BENZ G550 4X4 SQUARED! LOCAL BC! OWN A PIECE OF HISTORY!,"269,900",https://saskatoon.craigslist.org/ctd/d/langley-city-2017-mercedes-benz-g550/7490659047.html,54000,,clean,automatic,2017 Mercedes-Benz G550 4x4 Squared,4wd,SUV,8 cylinders,112
2016 Mercedes sprinter 4x4,"60,000",https://edmonton.craigslist.org/cto/d/edmonton-2016-mercedes-sprinter-4x4/7501326752.html,169000,,clean,automatic,2016 mercedes benz,4wd,,,113
2017 Subaru LegacyLTD 3.6R,"26,750",https://saskatoon.craigslist.org/cto/d/saskatoon-northeast-central-2017-subaru/7495584099.html,48500,4S3BNFN63H3059709,clean,automatic,2017 subaru legacy,4wd,sedan,6 cylinders,114
2006 FORD F550 - UTILITY TRUCK *EX:FORTIS* DIESEL * 2WD* ONLY 167K,"26,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2006-ford-f550-utility-truck/7491815597.html,167000,,clean,automatic,2006 FORD F550,rwd,truck,8 cylinders,115
2012 FORD F650 XL - 16FT FLAT BED TRUCK *6.7L CUMMINS 240HP*128K MILES,"52,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2012-ford-f650-xl-16ft-flat/7502076406.html,128000,,clean,automatic,2012 FORD F650,rwd,truck,6 cylinders,116
2008 dodge ram mega cab,"12,000",https://saskatoon.craigslist.org/cto/d/brooksby-2008-dodge-ram-mega-cab/7495826811.html,400000,,clean,automatic,2008 dodge ram 2500,4wd,truck,other,117
2021 BMW M5 COMPETITION! 617HP! BEST COLOR COMBO! LOCAL BC CLAIM FREE!,"139,900",https://saskatoon.craigslist.org/ctd/d/langley-city-2021-bmw-m5-competition/7497355449.html,9500,,clean,automatic,2021 BMW M5 COMPETITION,4wd,sedan,8 cylinders,118
2011 FORD F750 XLT - 18FT FLAT DECK TRUCK *6.7L CUMMINS  / LOW KM'S*,"69,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2011-ford-f750-xlt-18ft-flat/7490158427.html,43000,,clean,manual,2011 FORD F750,rwd,truck,6 cylinders,119
2021 BMW M5 COMPETITION! 617HP! BEST COLOR COMBO! LOCAL BC CLAIM FREE!,"139,900",https://saskatoon.craigslist.org/ctd/d/langley-city-2021-bmw-m5-competition/7497357814.html,9500,,clean,automatic,2021 BMW M5 COMPETITION,4wd,sedan,8 cylinders,120
2011 FORD F53 - 18FT STEP VAN *DUAL FUEL* 6.8L V10 *189K* VERY CLEAN,"45,900",https://edmonton.craigslist.org/ctd/d/coquitlam-2011-ford-ft-step-van-dual/7490172312.html,43000,,clean,automatic,2011 FORD F53,rwd,truck,10 cylinders,121
2011 Jeep Liberty Sport,"4,500",https://saskatoon.craigslist.org/cto/d/saskatoon-southeast-2011-jeep-liberty/7502567750.html,146800,,clean,automatic,2011 jeep liberty sport,,,,122
2013 Subaru Impreza 2.0i,"10,000",https://edmonton.craigslist.org/cto/d/edmonton-2013-subaru-impreza-20i/7502129583.html,211000,,clean,automatic,2013 subaru impreza,4wd,sedan,4 cylinders,123
"2002 Mitsubishi Lancer EVO 7 / VII - Evolution 2.0L 4G63 Turbo, GT-A m","17,950",https://edmonton.craigslist.org/ctd/d/courtenay-central-2002-mitsubishi/7502134464.html,183000,,clean,automatic,2002 Lancer Evolution GT-A Turbo 7,,,,124
2001 Gmc Sierra 2500HD,"2,400",https://edmonton.craigslist.org/cto/d/edmonton-2001-gmc-sierra-2500hd/7502252303.html,169510,,clean,automatic,2001 gmc sierra 2500hd,,,,125
"2008 Ford Ranger 14,248 Original KM","17,800",https://edmonton.craigslist.org/cto/d/vancouver-2008-ford-ranger-original-km/7496141492.html,14248,,rebuilt,automatic,2008 ford ranger,rwd,pickup,6 cylinders,126
2011 Ford Raptor SVT 6.2,"39,900",https://edmonton.craigslist.org/cto/d/edmonton-2011-ford-raptor-svt-62/7502565482.html,131000,,clean,automatic,2011 Ford F150 Supercrew Raptor,4wd,pickup,8 cylinders,127
2006 Honda Civic Sedan,"1,600",https://edmonton.craigslist.org/cto/d/edmonton-west-2006-honda-civic-sedan/7502751666.html,139485,,clean,automatic,2006 civic,fwd,,,128
2018 Grand Cherokee SRT  .. 9/10 .. Gold Plan 5/100,"79,998",https://edmonton.craigslist.org/ctd/d/edmonton-2018-grand-cherokee-srt-gold/7501879056.html,42000,,clean,automatic,2018 jeep grand cherokee srt,4wd,,8 cylinders,129
1973 Ford,"6,000",https://edmonton.craigslist.org/cto/d/edmonton-west-1973-ford/7502910739.html,150,,clean,other,1973 ford,,,,130
