title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2005 Toyota Matrix XR,"7,995",https://toronto.craigslist.org/tor/ctd/d/east-toronto-2005-toyota-matrix-xr/7497014405.html,98000,,clean,automatic,2005 toyota matrix xr,fwd,hatchback,4 cylinders,61
2013 Nissan Rogue,"8,200",https://toronto.craigslist.org/tor/cto/d/scarborough-2013-nissan-rogue/7497105491.html,220000,,clean,automatic,2013 nissan rogue,fwd,SUV,4 cylinders,62
"2008 Ford Edge LTD V6 3.5 L, 220K, Panoramic Roof,  AWD","6,000",https://toronto.craigslist.org/tor/cto/d/east-york-2008-ford-edge-ltd-v6-35-220k/7497146206.html,212000,2FMDK49C08BB33086,clean,automatic,2008 Ford Edge Limited,4wd,SUV,6 cylinders,63
2021 BMW M5 COMPETITION! 617HP! BEST COLOR COMBO! LOCAL BC CLAIM FREE!,"139,900",https://toronto.craigslist.org/tor/ctd/d/langley-city-2021-bmw-m5-competition/7497353075.html,9500,,clean,automatic,2021 BMW M5 COMPETITION,4wd,sedan,8 cylinders,64
2006 Mazda 3 Sport sedan,"1,200",https://toronto.craigslist.org/tor/cto/d/downtown-toronto-2006-mazda-sport-sedan/7497363296.html,109000,,clean,automatic,2006 mazda,,,,65
Competitive Auto Insurance,1,https://toronto.craigslist.org/tor/cto/d/etobicoke-competitive-auto-insurance/7494044620.html,43000,,clean,automatic,2020 Other,,,,66
2011 Dodge Grand Caravan,"14,900",https://toronto.craigslist.org/tor/cto/d/don-mills-south-2011-dodge-grand-caravan/7497386510.html,168000,,clean,automatic,2011 dodge grand caravan,,,,67
1987 CADILLAC  86k,"4,995",https://toronto.craigslist.org/tor/cto/d/markham-southeast-1987-cadillac-86k/7497451666.html,86000,,clean,automatic,1987 cadillac brougham,rwd,other,8 cylinders,68
Ml 350 blue teck diesel 2015 black,"30,500",https://toronto.craigslist.org/bra/cto/d/brampton-north-ml-350-blue-teck-diesel/7497474657.html,105000,,clean,automatic,2015 mercedes benz ml350,4wd,SUV,6 cylinders,69
2012 Honda Civic Sedan White,"3,500",https://toronto.craigslist.org/tor/cto/d/downtown-toronto-2012-honda-civic-sedan/7497522822.html,173000,,clean,automatic,2012 civic,,,,70
1966 Mustang Coupe V8 289 - Turn Key!,"29,500",https://toronto.craigslist.org/mss/cto/d/mississauga-1966-mustang-coupe-turn-key/7497602929.html,114300,,clean,automatic,1966 ford mustang,rwd,coupe,8 cylinders,71
60KM Cargo Van White Extended body,"18,000",https://toronto.craigslist.org/tor/cto/d/east-york-60km-cargo-van-white-extended/7497664255.html,60000,,clean,automatic,2005 chevrolet express cargo van 2500,,,,72
2015 Chrysler and Town Limited Edition,"14,500",https://toronto.craigslist.org/mss/cto/d/mississauga-2015-chrysler-and-town/7498160851.html,205262,,clean,automatic,2015 chrysler town and country,fwd,mini-van,6 cylinders,73
Mercedes Benz B-250 2013 Sporty - great for active people,"14,500",https://toronto.craigslist.org/tor/cto/d/downtown-toronto-mercedes-benz-sporty/7498207325.html,104900,,clean,automatic,2013 mercedes benz b250,4wd,other,,74
2018 Mercedes-Benz GLE400 4MATIC SUV，30100KM,"47,000",https://toronto.craigslist.org/tor/cto/d/richmond-hill-2018-mercedes-benz-gle400/7498212662.html,30100,4JGDA5GBXJB095395,clean,automatic,2018 MERZ GLE400,4wd,SUV,6 cylinders,75
2013 Mazda MAZDA3 GS-SKY -MANUAL LOADED -WARRANTY!,"7,599",https://toronto.craigslist.org/mss/ctd/d/hamilton-2013-mazda-mazda3-gs-sky/7492316566.html,168000,,clean,manual,2013 mazda 3,,,,76
2013 Mazda MAZDA3 -6SPD LOADED- WARRANTY!,"7,499",https://toronto.craigslist.org/mss/ctd/d/hamilton-2013-mazda-mazda3-6spd-loaded/7488333867.html,184000,,clean,manual,2013 mazda 3,,,,77
2012 Mazda MAZDA3 GS-SKY -AUTO LOADED -WARRANTY!,"5,995",https://toronto.craigslist.org/mss/ctd/d/hamilton-2012-mazda-mazda3-gs-sky-auto/7498229304.html,229000,,clean,automatic,2012 mazda 3,,,,78
SOLD 2009 Toyota Sienna,"8,988",https://toronto.craigslist.org/tor/cto/d/north-york-sold-2009-toyota-sienna/7498245403.html,229054,,clean,automatic,2009 2009 Toyota Sienna,fwd,mini-van,6 cylinders,79
2018 MERCEDES-BENZ AMG E63s! HIGHLY OPTIONED! LOCAL BC! CLAIM FREE!,"109,900",https://toronto.craigslist.org/tor/ctd/d/langley-city-2018-mercedes-benz-amg/7498245664.html,37000,,clean,automatic,2018 Mercedes-Benz AMG E63s,4wd,sedan,8 cylinders,80
Ford Escape,"6,500",https://toronto.craigslist.org/tor/cto/d/north-york-ford-escape/7487014699.html,0,,clean,automatic,2008 2008 Ford Esape,fwd,SUV,4 cylinders,81
"2015 Chevrolet Silverado 1500 Z71, 4X4, 4 door, Low KM, Leather, 4 Doo","31,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2015-chevrolet-silverado/7498537109.html,129000,,clean,automatic,2015 chevrolet silverado 1500,,,,82
"2008 Jeep Wrangler Sahara, Low km, Automatic, 4 Door, 3 Years Warranty","19,900",https://toronto.craigslist.org/tor/ctd/d/2008-jeep-wrangler-sahara-low-km/7498548518.html,155000,,clean,automatic,2008 jeep wrangler sahara,,,,83
"2015 Ford Super Duty F-350 SRW Super Crow ,4x4, 4 Door , Automatic , 3","18,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2015-ford-super-duty-350-srw/7498552271.html,18900,,clean,automatic,2015 ford f350 super duty,,,,84
"2010 Ford F-150 FX4, 4x4, 4 door, Leather sunroof, low km, 3 Years War","16,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2010-ford-150-fx4-4x4-door/7498553550.html,155000,,clean,automatic,2010 ford f-150,,,,85
"2007 Hummer H3 AWD, Leather, Sunroof, Low KM, 3/Y Warranty Available.","15,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2007-hummer-h3-awd-leather/7498555872.html,221000,,clean,automatic,2007 hummer h3,,,,86
"2010 Ford F-150 Crew Cab, 4X4, 4 door, Low KM, 3/Y Warranty Available.","15,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2010-ford-150-crew-cab-4x4/7498557433.html,185000,,clean,automatic,2010 ford f-150,,,,87
"2013 Chevrolet Silverado 1500 Z71, 4X4, 4 Door, Auto, 3/Y Warranty Ava","14,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2013-chevrolet-silverado/7498559126.html,237000,,clean,automatic,2013 chevrolet silverado 1500,,,,88
"2007 Cadillac Escalade ESV AWD, 7 Pass., DVD, Leather, 3/Y Warranty Av","14,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2007-cadillac-escalade-esv/7498560310.html,245000,,clean,automatic,2007 cadillac escalade esv,,,,89
"2014 Ram 1500 Sport , 4x4, 4 door, Leather, Sunroof , He mi, 3 Years W","14,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2014-ram-1500-sport-4x4-door/7498564802.html,288000,,clean,automatic,2014 ram1500,,,,90
"2013 Ford Super Duty F-250 SRW 4x4, super Crow , Automatic , 3 Years W","14,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2013-ford-super-duty-250-srw/7498567827.html,381000,,clean,automatic,2013 ford f-250 super duty,,,,91
"2011 Ford F-150 Crow Cab , XTR , 4x4 , 4 Door , No rust , 3 Years Warr","14,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2011-ford-150-crow-cab-xtr/7498570186.html,238000,,clean,automatic,2011 ford f-150,,,,92
"2007 Toyota FJ Cruiser 4X4, 6 Speed, 4 Door, 3/Y warranty available.","14,800",https://toronto.craigslist.org/tor/ctd/d/north-york-2007-toyota-fj-cruiser-4x4/7498574445.html,390000,,clean,automatic,2007 toyota fj cruiser,,,,93
"2014 Ford F-150 Crow cab , 4x4 , 4 Door , No rust , 3 Years Warranty A","13,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2014-ford-150-crow-cab-4x4/7498575202.html,275000,,clean,automatic,2014 ford f-150,,,,94
"2012 Chevrolet Silverado 1500 4X4, Automatic, 4 Door, 3/Y Warranty Ava","13,800",https://toronto.craigslist.org/tor/ctd/d/north-york-2012-chevrolet-silverado-x4/7498577721.html,241000,,clean,automatic,2012 chevrolet silverado 1500,,,,95
"Over 14 Years in business,  --     Fully certified.  ---  Crow cab,","12,900",https://toronto.craigslist.org/tor/ctd/d/north-york-over-14-years-in-business/7498579716.html,155000,,clean,automatic,2008 ford ranger,,,,96
"2008 GMC Sierra 1500 Z71, Leather , Sunroof, 4 door , 4x4, low km , 3","12,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2008-gmc-sierra-1500-z71/7498580472.html,211000,,clean,automatic,2008 gmc sierra 1500,,,,97
"2007 Chevrolet Avalanche Leather , Sunroof ,4x4 , 4 Door , Automatic ,","11,900",https://toronto.craigslist.org/tor/ctd/d/north-york-2007-chevrolet-avalanche/7498581547.html,249000,,clean,automatic,2007 chevrolet avalanche,,,,98
2008 Ford F-150 Super Crew Harley-Davidson,"45,000",https://toronto.craigslist.org/tor/cto/d/west-toronto-2008-ford-150-super-crew/7496780299.html,109800,,clean,automatic,2008 ford f150,4wd,pickup,8 cylinders,99
2014 Toyota Camry LE - Upgrade Package,"8,950",https://toronto.craigslist.org/yrk/cto/d/maple-2014-toyota-camry-le-upgrade/7498843128.html,308650,,clean,automatic,2014 toyota camry,fwd,sedan,4 cylinders,100
2013 Honda Civic LX,"11,500",https://toronto.craigslist.org/tor/cto/d/scarborough-2013-honda-civic-lx/7498861966.html,180000,,clean,automatic,2013 honda civic lx,fwd,sedan,4 cylinders,101
2013 Toyota Corolla LE,"10,495",https://toronto.craigslist.org/tor/ctd/d/east-toronto-2013-toyota-corolla-le/7498949030.html,201000,,clean,automatic,2013 toyota corolla le,fwd,sedan,4 cylinders,102
Classic 1987 -- 560SL Mercedes,"31,000",https://toronto.craigslist.org/mss/cto/d/esquimalt-classic-sl-mercedes/7499032997.html,100000,,clean,automatic,1987 mercedes-benz 560 sl,rwd,convertible,8 cylinders,103
2012 Mini Cooper,"9,999",https://toronto.craigslist.org/tor/cto/d/toronto-2012-mini-cooper/7499086377.html,125300,,clean,manual,2012 2012 mini cooper,,hatchback,4 cylinders,104
LEXUS LS460L AWD Mark Levinson,"9,950",https://toronto.craigslist.org/yrk/cto/d/north-york-lexus-ls460l-awd-mark/7488368798.html,244000,JTHDL46F095000512,clean,automatic,2009 LEXUS LS460L AWD,4wd,sedan,8 cylinders,105
2011 Suzuki Kizashi,"8,900",https://toronto.craigslist.org/drh/cto/d/pickering-south-2011-suzuki-kizashi/7499152146.html,128000,,clean,automatic,2011 suzuki kizashi,4wd,sedan,4 cylinders,106
EXTREMELY RARE 1981 ROLLS ROYCE SILVER SPUR 4-DOOR CONVERTIBLE!!!,"12,500",https://toronto.craigslist.org/tor/cto/d/don-mills-south-extremely-rare-1981/7499201593.html,51000,,clean,automatic,1981 rolls royce silver spur,rwd,convertible,8 cylinders,107
Classic 1987 -- 560SL Mercedes,"31,000",https://toronto.craigslist.org/mss/cto/d/esquimalt-classic-sl-mercedes/7499270761.html,100000,,clean,automatic,1987 mercedes-benz 560 sl,rwd,convertible,8 cylinders,108
2006 Subaru Forester,"4,295",https://toronto.craigslist.org/tor/cto/d/toronto-2006-subaru-forester/7499369988.html,252529,,clean,manual,2006 2006 Subaru forester,rwd,wagon,4 cylinders,109
2013 Toyota Corolla LE,"13,995",https://toronto.craigslist.org/tor/ctd/d/east-toronto-2013-toyota-corolla-le/7499456555.html,96000,,clean,automatic,2013 toyota corolla le,fwd,sedan,4 cylinders,110
