title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2009 Subaru Forester 2.5X Touring,"2,000",https://brantford.craigslist.org/cto/d/etobicoke-2009-subaru-forester-25x/7500351876.html,168000,,clean,automatic,2009 Subaru Forester 2.5X,,,4 cylinders,28
2006 Chevrolet Tahoe,"7,500",https://kitchener.craigslist.org/cto/d/wellington-2006-chevrolet-tahoe/7500782035.html,218000,,rebuilt,automatic,2006 chevrolet tahoe,rwd,SUV,8 cylinders,29
2015 Mazda 3 GS Sport,"8,499",https://guelph.craigslist.org/cto/d/orangeville-2015-mazda-gs-sport/7500823295.html,254000,,clean,manual,2015 mazda 3,fwd,hatchback,4 cylinders,30
2015 ..350 Ford Super Sport Dually,72,https://guelph.craigslist.org/cto/d/guelph-ford-super-sport-dually/7501068794.html,58000,,clean,automatic,2015 ford f-350 super duty,4wd,truck,8 cylinders,31
2006 Toyota Camry LE - Sedan V6 Auto,"4,500",https://londonon.craigslist.org/ctd/d/2006-toyota-camry-le-sedan-v6-auto/7494392217.html,264201,4T1BF32K46U113597,clean,automatic,2006 Toyota Camry,fwd,sedan,6 cylinders,32
"HONDA ODYSSEY 2010 EXL FULLY LOADED 243,750 km $9,500 o.b.o.","9,500",https://kitchener.craigslist.org/cto/d/waterloo-honda-odyssey-2010-exl-fully/7501494960.html,243750,,clean,automatic,2010 honda odyssey,fwd,mini-van,6 cylinders,33
2002 Ford Explorer Limited SUV Crossover,"3,000",https://londonon.craigslist.org/cto/d/london-2002-ford-explorer-limited-suv/7497087237.html,344257,,clean,automatic,2002 ford explorer,,SUV,4 cylinders,34
2016 VW Tiguan Highline,"24,500",https://londonon.craigslist.org/cto/d/port-stanley-2016-vw-tiguan-highline/7497329622.html,96700,WVGJV7AX5GW016059,clean,automatic,2016 Tiguan Highline,4wd,SUV,4 cylinders,35
2014 Honda Ridgeline,"23,000",https://londonon.craigslist.org/cto/d/huron-park-2014-honda-ridgeline/7497674580.html,134000,,clean,automatic,2014 honda ridgeline,4wd,pickup,6 cylinders,36
2006 Ford Ranger,"8,000",https://londonon.craigslist.org/cto/d/london-2006-ford-ranger/7498985953.html,112000,1FTYR10U76PA60195,clean,manual,2006 ford ranger,rwd,pickup,6 cylinders,37
