title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
"🔥2016 Nissan Frontier 4WD PRO-4X Crew Cab Pickup: Local, No Accidents","31,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2016-nissan-frontier/7499108103.html,121032,,clean,automatic,2016 Nissan Frontier,4wd,pickup,6 cylinders,26
1972 Ford Mustang Fastback,"28,000",https://calgary.craigslist.org/cto/d/vancouver-1972-ford-mustang-fastback/7496292209.html,100000,,clean,automatic,1972 ford mustang,,,,27
"🔥2015 Nissan Titan 4WD S Pickup Crew Cab: Low KMs, Accident-Free","28,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2015-nissan-titan-4wd/7499999529.html,66452,,clean,automatic,2015 Nissan Titan,4wd,truck,8 cylinders,28
1994 Skyline R33 GTS,"96,000",https://calgary.craigslist.org/cto/d/vancouver-1994-skyline-r33-gts/7496293957.html,100000,,clean,manual,1994 nissan skyline,,,,29
"🔥2022 Acura MDX AWD Platinum Elite SUV | Loaded, Low KMs, No Accident","71,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2022-acura-mdx-awd/7502685628.html,18007,,clean,automatic,2022 Acura MDX,4wd,SUV,6 cylinders,30
1972 Chevrolet Camaro SS,"32,000",https://calgary.craigslist.org/ctd/d/vancouver-1972-chevrolet-camaro-ss/7496302541.html,100000,,clean,automatic,1972 chevrolet camaro,,,,31
"🔥2018 GMC Sierra 1500 4WD Denali Pickup BC Vehicle, 56K KMs Only","54,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2018-gmc-sierra-wd/7500001998.html,56350,,clean,automatic,2018 GMC Sierra 1500,4wd,truck,8 cylinders,32
🔥2021 Honda CR-V AWD EX-L SUV | Honda Certified 7yrs*Warranty,"41,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2021-honda-cr-awd-ex/7500873607.html,40633,,clean,automatic,2021 Honda CR-V,4wd,SUV,4 cylinders,33
"🔥2022 Acura MDX AWD Platinum Elite SUV | Loaded, Low KMs, No Accident","71,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2022-acura-mdx-awd/7502685865.html,18007,,clean,automatic,2022 Acura MDX,4wd,SUV,6 cylinders,34
"🔥2018 Chevrolet Suburban 4WD LT SUV | BC Local, No Accidents","57,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2018-chevrolet-suburban/7501809093.html,84509,,clean,automatic,2018 Chevrolet Suburban,4wd,SUV,8 cylinders,35
"🔥2015 Mercedes-Benz AWD CLA 250 Sedan | Local, Loaded, Low KMs","24,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2015-mercedes-benz-awd/7501811230.html,84108,,clean,automatic,2015 Mercedes-Benz CLA 250,4wd,sedan,4 cylinders,36
🔥2019 Honda Civic Touring Sedan | Honda Certified 7yrs*Warranty,"29,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2019-honda-civic/7502688070.html,27436,,clean,automatic,2019 Honda Civic,fwd,sedan,4 cylinders,37
🔥2020 Honda CR-V AWD LX SUV | Honda Certified 7yrs*Warranty,"35,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2020-honda-cr-awd-lx/7502688803.html,24852,,clean,automatic,2020 Honda CR-V,4wd,SUV,4 cylinders,38
"2015 PORSCHE CAYENNE S - BACKUP CAMERA, NAVIGATION, PANORAMIC SUNROOF","58,995",https://kelowna.craigslist.org/ctd/d/kelowna-2015-porsche-cayenne-backup/7502691778.html,60275,,clean,automatic,2015 Porsche Cayenne,4wd,,,39
"🔥2019 Dodge Charger RWD SXT Sedan | 80K KMs Only, BC Unit","29,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2019-dodge-charger-rwd/7502691998.html,79332,,clean,automatic,2019 Dodge Charger,rwd,sedan,6 cylinders,40
🔥2018 GMC Sierra 1500 4WD SLE Crew Cab Pickup: Accident-Free,"41,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2018-gmc-sierra-wd-sle/7502692434.html,85322,,clean,automatic,2018 GMC Sierra 1500,4wd,truck,8 cylinders,41
"🔥2019 Ram 1500 4WD Sport Crew Cab Pickup | 1-Owner, No Accidents","52,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2019-ram-wd-sport-crew/7502695296.html,19311,,clean,automatic,2019 Ram 1500,4wd,truck,8 cylinders,42
2022 HYUNDAI ELANTRA HYBRID ULTIMATE DCT,"42,888",https://kelowna.craigslist.org/ctd/d/kelowna-2022-hyundai-elantra-hybrid/7502696488.html,4025,,clean,automatic,2022 Hyundai Elantra,fwd,,,43
Dodge Ram Cummins Turbo Diesel Laramie,"82,500",https://kelowna.craigslist.org/cto/d/kelowna-dodge-ram-cummins-turbo-diesel/7495613115.html,85683,,clean,automatic,2017 dodge ram cummins 3500 laramie,4wd,truck,8 cylinders,44
🔥2017 Honda Civic Si 6-Spd Coupe | Honda Certified 7yrs*Warranty,"28,998",https://kelowna.craigslist.org/ctd/d/chilliwack-west-2017-honda-civic-si-spd/7502696695.html,59727,,clean,manual,2017 Honda Civic Si,fwd,coupe,4 cylinders,45
2019 Mazda CX-9 GT! Loaded! 7 seats! Sunroof! Nav! Heated Leather!,"38,986",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2019-mazda-cx-gt/7499068124.html,68813,,clean,automatic,2019 Mazda CX-9 GT,4wd,SUV,4 cylinders,46
★2015 Lincoln MKC Loaded! 2 sets of Tires Rims! Leather! Nav! Roof!,"24,916",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2015-lincoln-mkc/7499985515.html,108250,,clean,automatic,2015 Lincoln MKC,4wd,SUV,4 cylinders,47
2021 Hyundai Venue Ultimate! Heated Steering Wheel! Sunroof! LOW KMS!,"28,427",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2021-hyundai-venue/7502699029.html,27335,,clean,automatic,2021 Hyundai Venue Ultimate,fwd,,4 cylinders,48
★2012 Dodge Challenger R-T - keyless entry - power windows and locks,"27,984",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2012-dodge/7499989232.html,88440,,clean,manual,2012 Dodge Challenger R-T,rwd,coupe,8 cylinders,49
2016 Mercedes-Benz CLA - NO ACCIDENTS!,"28,388",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2016-mercedes-benz/7499986273.html,77288,,clean,automatic,2016 Mercedes-Benz CLA,4wd,sedan,4 cylinders,50
2014 CADILLAC ATS AWD,"21,900",https://kelowna.craigslist.org/ctd/d/west-vancouver-2014-cadillac-ats-awd/7502713236.html,124000,,clean,automatic,2014 cadillac ats,4wd,sedan,6 cylinders,51
2014 CADILLAC ATS AWD,"21,900",https://kelowna.craigslist.org/ctd/d/west-vancouver-2014-cadillac-ats-awd/7502713335.html,124000,,clean,automatic,2014 cadillac ats,4wd,sedan,6 cylinders,52
2014 CADILLAC ATS AWD,"21,900",https://kelowna.craigslist.org/ctd/d/west-vancouver-2014-cadillac-ats-awd/7502713420.html,124000,,clean,automatic,2014 cadillac ats,4wd,sedan,6 cylinders,53
★2018 GMC Sierra 1500 Denali - ONE OWNER! NO ACCIDENTS!,"45,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2018-gmc-sierra/7493247386.html,151034,,clean,automatic,2018 GMC Sierra 1500 Denali,4wd,truck,8 cylinders,54
★2018 Honda Civic Loaded! 6 spd! Nav! Leather! Rood! Super Low km!,"30,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2018-honda-civic/7501702062.html,19136,,clean,manual,2018 Honda Civic,fwd,hatchback,4 cylinders,55
2014 FORD FUSION 4DR SDN SE FWD 4DR FRONT-WHEEL DRIVE SEDAN SE,"16,888",https://kelowna.craigslist.org/ctd/d/kelowna-2014-ford-fusion-4dr-sdn-se-fwd/7502714013.html,108238,,clean,manual,2014 Ford Fusion,fwd,,,56
★2016 Chevrolet Trax SUV AWD Auto - 80K KMs Only!!,"16,974",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2016-chevrolet/7493249209.html,80236,,clean,automatic,2016 Chevrolet Trax,4wd,SUV,4 cylinders,57
★2015 Mitsubishi RVR SUV - SUPER LOW KM!,"22,983",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2015-mitsubishi/7496937239.html,86088,,clean,automatic,2015 Mitsubishi RVR,4wd,SUV,4 cylinders,58
★2019 Kia Sorento EX! 7 seats! Navigation! Leather! Cam!,"37,602",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2019-kia-sorento/7495884487.html,25002,,clean,automatic,2019 Kia Sorento,4wd,SUV,6 cylinders,59
★2020 Kia Sportage EX Premium S - ONE OWNER! LOW KMS!!,"28,803",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2020-kia-sportage/7495065083.html,45980,,clean,automatic,2020 Kia Sportage EX,4wd,SUV,4 cylinders,60
★2017 Nissan Pathfinder SUV V6 - No Accidents!,"29,802",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2017-nissan/7496927154.html,133072,,clean,automatic,2017 Nissan Pathfinder,4wd,SUV,6 cylinders,61
★2021 Genesis G70 Sedan AWD V6 - Accident Free!,"49,882",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2021-genesis-g70/7496928705.html,18805,,clean,automatic,2021 Genesis G70,4wd,sedan,6 cylinders,62
★2020 Hyundai Palisade SUV - 51k KMs Only!,"49,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2020-hyundai/7496930173.html,51899,,clean,automatic,2020 Hyundai Palisade,4wd,SUV,6 cylinders,63
★2018 GMC Sierra 1500 Kodiak! Navigation! Crew Cab! No Accidents!,"40,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2018-gmc-sierra/7499076848.html,84059,,clean,automatic,2018 GMC Sierra 1500 Kodiak,4wd,truck,8 cylinders,64
2006 Honda Civic Sedan,"1,600",https://edmonton.craigslist.org/cto/d/edmonton-west-2006-honda-civic-sedan/7502751666.html,139485,,clean,automatic,2006 civic,fwd,,,65
★2014 Ford Mustang Manual RWD - 90k KMs Only! Just Arrived!!,"23,892",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2014-ford-mustang/7496931728.html,90035,,clean,manual,2014 Ford Mustang,rwd,convertible,6 cylinders,66
★2019 Kia Sorento 7 seats! Leather! Navigation! No Accidents! 1 Owner!,"34,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2019-kia-sorento/7499084346.html,51320,,clean,automatic,2019 Kia Sorento,4wd,SUV,4 cylinders,67
★2008 Pontiac G5 Coupe - One Owner! No Accidents!,"6,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2008-pontiac-g5/7499086916.html,119350,,clean,automatic,2008 Pontiac G5,fwd,coupe,4 cylinders,68
★2019 Nissan Rogue SUV CVT - 33K KMs Only! One Owner!,"26,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2019-nissan-rogue/7499094128.html,33072,,clean,automatic,2019 Nissan Rogue,fwd,SUV,4 cylinders,69
★2019 Kia Sorento SXL! 7 Seats! Nappa Leather! Pano Sunroof! Nav!,"42,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2019-kia-sorento/7501703150.html,72985,,clean,automatic,2019 Kia Sorento SXL,4wd,SUV,6 cylinders,70
★2013 Ford Fusion Titanium! AWD! Nav! Leather! Roof! Low km!,"15,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2013-ford-fusion/7501714032.html,103786,,clean,automatic,2013 Ford Fusion,4wd,sedan,4 cylinders,71
★2016 Mazda CX-5 FWD! Sunroof! Heated Seats! Cam! Bluetooth!,"20,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2016-mazda-cx-fwd/7501715149.html,128645,,clean,automatic,2016 Mazda CX-5,fwd,SUV,4 cylinders,72
★2010 Dodge Grand Caravan - 163K KMs Only! One Owner!,"9,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2010-dodge-grand/7501720565.html,163566,,clean,automatic,2010 Dodge Grand Caravan,fwd,mini-van,6 cylinders,73
★2020 Kia Telluride - NO ACCIDENTS! ONE OWNER! LOW KMS!,"54,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2020-kia-telluride/7501722329.html,18996,,clean,automatic,2020 Kia Telluride,4wd,SUV,6 cylinders,74
★2015 Ram 1500 - 90K KMs Only! No Accidents!,"34,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2015-ram-kms-only/7501724535.html,90870,,clean,automatic,2015 Ram 1500,4wd,truck,8 cylinders,75
2020 Wrangler Sahara Unlimited  ... Bikini Pearl,"56,900",https://kelowna.craigslist.org/ctd/d/kelowna-2020-wrangler-sahara-unlimited/7502735857.html,33000,,clean,automatic,2020 jeep wrangler sahara unlimited,4wd,,6 cylinders,76
2015 MERCEDES BENZ G-CLASS G 550 - NIGHT STAR EDITION! RARE! 1 OF 100!,"93,443",https://kelowna.craigslist.org/ctd/d/kelowna-2015-mercedes-benz-class-night/7502735970.html,135285,,clean,automatic,2015 Mercedes Benz,fwd,,,77
2021 MERCEDES-BENZ GLS GLS 450 4MATIC SUV,"118,888",https://kelowna.craigslist.org/ctd/d/kelowna-2021-mercedes-benz-gls-gls-450/7502742241.html,14088,,clean,automatic,2021 Mercedes-Benz Gls,4wd,,,78
"Urgent moving sale - 2010 Nissan Altima, Good car for low price!","7,200",https://kelowna.craigslist.org/cto/d/penticton-urgent-moving-sale-nissan/7502736309.html,148500,1N4AL2AP9AC165151,clean,automatic,2010 nissan altima,,sedan,4 cylinders,79
1981 GMC Sierra,"3,800",https://kelowna.craigslist.org/cto/d/kelowna-southwest-1981-gmc-sierra/7493626569.html,97500,,clean,automatic,1981 gmc sierra 1500,rwd,,,80
